00:78:88:28:05:BF,-64
00:78:88:2B:53:10,-69
00:C1:64:8A:85:80,-81
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-69
00:78:88:2C:80:10,-58
00:78:88:2E:72:20,-86
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-79
00:78:88:28:05:BF,-60
00:C1:64:8A:85:80,-81
00:C1:64:8A:85:8F,-69
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-58
00:78:88:2E:72:20,-86
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-55
00:78:88:18:1D:20,-84
00:78:88:28:05:BF,-62
00:C1:64:8A:85:80,-75
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-57
00:78:88:2E:72:20,-86
00:78:88:4F:06:6F,-79
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-56
00:78:88:18:1D:20,-84
00:78:88:4F:06:60,-71
00:C1:64:C3:84:70,-80
00:78:88:81:10:FF,-87
00:78:88:2E:72:2F,-81
00:78:88:28:05:BF,-61
00:C1:64:8A:85:80,-74
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-58
00:78:88:2E:72:20,-85
00:78:88:4F:06:6F,-79
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-57
00:78:88:18:1D:20,-84
00:78:88:4F:06:60,-71
00:C1:64:C3:84:70,-80
00:78:88:81:10:FF,-87
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-72
00:C1:64:F2:F3:50,-82
00:78:88:28:05:BF,-64
00:C1:64:8A:85:80,-76
00:C1:64:8A:85:8F,-67
00:78:88:2C:80:1F,-63
00:78:88:2C:80:10,-57
00:78:88:2E:72:20,-85
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-56
00:78:88:4F:06:60,-71
00:C1:64:C3:84:70,-81
00:78:88:81:10:FF,-87
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-73
00:C1:64:F2:F3:50,-82
00:78:88:28:05:BF,-62
00:C1:64:8A:85:80,-76
00:C1:64:8A:85:8F,-70
00:78:88:2C:80:1F,-62
00:78:88:2C:80:10,-57
00:78:88:2E:72:20,-85
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-80
00:78:88:28:05:B0,-56
00:78:88:4F:06:60,-71
00:C1:64:C3:84:70,-80
00:78:88:81:10:FF,-87
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-73
00:C1:64:F2:F3:50,-82
00:78:88:81:10:F0,-84
00:78:88:28:05:BF,-61
00:C1:64:8A:85:80,-76
00:C1:64:8A:85:8F,-67
00:78:88:2C:80:1F,-66
00:78:88:2C:80:10,-57
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-55
00:78:88:4F:06:60,-71
00:C1:64:C3:84:70,-80
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-73
00:78:88:81:10:F0,-84
00:78:88:18:1D:20,-83
00:78:88:28:05:BF,-61
00:C1:64:8A:85:80,-78
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-56
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-57
00:78:88:4F:06:60,-71
00:C1:64:C3:84:70,-80
00:78:88:81:10:FF,-85
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-73
00:78:88:81:10:F0,-84
00:78:88:18:1D:20,-83
00:78:88:28:0F:90,-86
00:78:88:28:05:BF,-62
00:C1:64:8A:85:80,-78
00:C1:64:8A:85:8F,-70
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-56
00:78:88:4F:06:6F,-79
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-58
00:78:88:4F:06:60,-71
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-73
00:78:88:18:1D:20,-83
00:78:88:28:0F:90,-86
00:78:88:2E:72:20,-83
00:78:88:28:05:BF,-61
00:C1:64:8A:85:80,-78
00:C1:64:8A:85:8F,-69
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-57
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-80
00:78:88:28:05:B0,-57
00:78:88:4F:06:60,-71
00:78:88:81:10:FF,-87
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-73
00:78:88:28:0F:90,-86
00:78:88:2E:72:20,-83
00:C1:64:C3:84:70,-78
00:78:88:28:05:BF,-63
00:C1:64:8A:85:80,-77
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-56
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-77
00:78:88:28:05:B0,-55
00:78:88:4F:06:60,-71
00:78:88:81:10:FF,-88
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-72
00:78:88:2E:72:20,-83
00:C1:64:C3:84:70,-79
00:78:88:28:05:BF,-65
00:C1:64:8A:85:80,-77
00:C1:64:8A:85:8F,-67
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-57
00:78:88:4F:06:60,-71
00:78:88:81:10:FF,-88
00:78:88:2E:72:2F,-80
00:78:88:2B:53:10,-72
00:78:88:2E:72:20,-83
00:C1:64:C3:84:70,-79
00:78:88:28:05:BF,-63
00:C1:64:8A:85:80,-77
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-63
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-56
00:78:88:4F:06:60,-71
00:78:88:81:10:FF,-87
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-72
00:C1:64:C3:84:70,-79
00:78:88:28:0F:90,-86
00:78:88:28:05:BF,-64
00:C1:64:8A:85:80,-76
00:C1:64:8A:85:8F,-66
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-58
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-81
00:78:88:28:0F:90,-86
00:78:88:28:05:BF,-64
00:C1:64:8A:85:80,-78
00:C1:64:8A:85:8F,-67
00:78:88:2C:80:1F,-63
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-57
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-82
00:78:88:28:0F:90,-86
00:78:88:2B:53:10,-70
00:78:88:2E:72:20,-82
00:78:88:28:05:BF,-64
00:C1:64:8A:85:80,-77
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-58
00:78:88:81:10:FF,-87
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-69
00:78:88:2E:72:20,-82
00:78:88:4F:06:60,-72
00:78:88:28:05:BF,-64
00:C1:64:8A:85:80,-77
00:C1:64:8A:85:8F,-69
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-56
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-58
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-80
00:78:88:2B:53:10,-73
00:78:88:2E:72:20,-82
00:78:88:4F:06:60,-72
00:C1:64:F2:F3:50,-81
00:78:88:28:05:BF,-62
00:C1:64:8A:85:80,-77
00:C1:64:8A:85:8F,-69
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-58
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-80
00:78:88:2B:53:10,-73
00:78:88:4F:06:60,-72
00:C1:64:F2:F3:50,-81
00:C1:64:C3:84:70,-79
00:78:88:28:05:BF,-64
00:C1:64:8A:85:80,-79
00:C1:64:8A:85:8F,-69
00:78:88:2C:80:1F,-66
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-58
00:78:88:81:10:FF,-89
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-71
00:C1:64:F2:F3:50,-81
00:C1:64:C3:84:70,-79
00:78:88:28:05:BF,-65
00:C1:64:8A:85:80,-79
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-59
00:78:88:81:10:FF,-85
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-71
00:C1:64:C3:84:70,-79
00:78:88:28:05:BF,-63
00:C1:64:8A:85:80,-78
00:C1:64:8A:85:8F,-67
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-59
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-59
00:78:88:81:10:FF,-85
00:78:88:2E:72:2F,-80
00:78:88:2B:53:10,-71
00:C1:64:C3:84:70,-81
00:78:88:2E:72:20,-83
00:78:88:28:05:BF,-62
00:C1:64:8A:85:80,-78
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-57
00:78:88:4F:06:6F,-80
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-58
00:78:88:81:10:FF,-89
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-72
00:C1:64:C3:84:70,-81
00:78:88:2E:72:20,-83
00:78:88:4F:06:60,-72
00:78:88:28:05:BF,-60
00:C1:64:8A:85:80,-78
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-57
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-57
00:78:88:81:10:FF,-89
00:78:88:2E:72:2F,-81
00:78:88:2B:53:10,-72
00:C1:64:C3:84:70,-81
00:78:88:2E:72:20,-83
00:78:88:4F:06:60,-68
00:78:88:18:1D:20,-82
00:78:88:28:05:BF,-61
00:C1:64:8A:85:80,-75
00:C1:64:8A:85:8F,-76
00:78:88:2C:80:1F,-67
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-79
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-56
00:78:88:81:10:FF,-85
00:78:88:2E:72:2F,-80
00:78:88:2B:53:10,-72
00:C1:64:C3:84:70,-79
00:78:88:2E:72:20,-84
00:78:88:4F:06:60,-72
00:78:88:18:1D:20,-82
00:78:88:28:05:BF,-60
00:C1:64:8A:85:80,-78
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-63
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-79
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-56
00:78:88:81:10:FF,-84
00:78:88:2E:72:2F,-80
00:78:88:2B:53:10,-72
00:C1:64:C3:84:70,-80
00:78:88:2E:72:20,-84
00:78:88:4F:06:60,-72
00:78:88:18:1D:20,-82
00:78:88:28:05:BF,-63
00:C1:64:8A:85:80,-78
00:C1:64:8A:85:8F,-69
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-59
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-56
00:78:88:81:10:FF,-84
00:78:88:2E:72:2F,-80
00:C1:64:C3:84:70,-80
00:78:88:2E:72:20,-84
00:78:88:4F:06:60,-72
00:78:88:28:05:BF,-63
00:C1:64:8A:85:80,-78
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-56
00:78:88:81:10:FF,-84
00:78:88:2E:72:2F,-80
00:C1:64:C3:84:70,-80
00:78:88:4F:06:60,-72
00:78:88:2B:53:10,-71
00:78:88:28:05:BF,-61
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-57
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-53
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-82
00:78:88:4F:06:60,-72
00:78:88:2B:53:10,-71
00:78:88:2E:72:20,-82
00:78:88:28:05:BF,-62
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-54
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-82
00:78:88:2B:53:10,-71
00:78:88:2E:72:20,-82
00:78:88:81:10:F0,-81
00:C1:64:8A:85:80,-74
00:78:88:28:05:BF,-62
00:C1:64:8A:85:8F,-69
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-57
00:78:88:81:10:FF,-88
00:78:88:2E:72:2F,-81
00:78:88:2E:72:20,-82
00:78:88:81:10:F0,-81
00:C1:64:8A:85:80,-77
00:78:88:28:05:BF,-63
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-66
00:78:88:2C:80:10,-59
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-54
00:78:88:81:10:FF,-88
00:78:88:2E:72:2F,-81
00:78:88:2E:72:20,-83
00:78:88:81:10:F0,-81
00:C1:64:8A:85:80,-77
00:78:88:18:1D:20,-82
00:78:88:28:05:BF,-73
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-60
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-84
00:78:88:28:05:B0,-54
00:78:88:81:10:FF,-85
00:78:88:2E:72:2F,-80
00:78:88:2E:72:20,-83
00:C1:64:8A:85:80,-77
00:78:88:18:1D:20,-82
00:78:88:28:05:BF,-67
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-63
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-56
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-81
00:78:88:2E:72:20,-83
00:C1:64:8A:85:80,-77
00:78:88:18:1D:20,-82
00:C1:64:C3:84:70,-81
00:78:88:28:05:BF,-62
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-59
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-60
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-81
00:C1:64:8A:85:80,-76
00:C1:64:C3:84:70,-81
00:78:88:2B:53:10,-71
00:78:88:28:05:BF,-61
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-59
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-86
00:78:88:28:05:B0,-55
00:78:88:81:10:FF,-87
00:78:88:2E:72:2F,-81
00:C1:64:8A:85:80,-76
00:C1:64:C3:84:70,-81
00:78:88:2B:53:10,-68
00:78:88:28:05:BF,-62
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-79
00:78:88:2B:53:1F,-86
00:78:88:28:05:B0,-55
00:78:88:81:10:FF,-87
00:78:88:2E:72:2F,-80
00:C1:64:8A:85:80,-77
00:78:88:2B:53:10,-68
00:78:88:4F:06:60,-72
00:78:88:28:05:BF,-60
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-59
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-55
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-80
00:C1:64:8A:85:80,-76
00:78:88:2B:53:10,-71
00:78:88:4F:06:60,-72
00:78:88:28:05:BF,-61
00:C1:64:8A:85:8F,-70
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-55
00:78:88:81:10:FF,-87
00:78:88:2E:72:2F,-82
00:C1:64:8A:85:80,-76
00:78:88:2B:53:10,-71
00:78:88:4F:06:60,-72
00:C1:64:C3:84:70,-81
00:78:88:28:05:BF,-62
00:C1:64:8A:85:8F,-67
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-79
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-57
00:78:88:81:10:FF,-85
00:78:88:2E:72:2F,-81
00:C1:64:8A:85:80,-76
00:78:88:2B:53:10,-69
00:C1:64:C3:84:70,-80
00:78:88:2E:72:20,-83
00:78:88:28:05:BF,-62
00:C1:64:8A:85:8F,-67
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-58
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-81
00:C1:64:8A:85:80,-77
00:78:88:2B:53:10,-69
00:C1:64:C3:84:70,-80
00:78:88:2E:72:20,-83
00:78:88:4F:06:60,-72
00:78:88:28:05:BF,-62
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-58
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-81
00:C1:64:8A:85:80,-77
00:78:88:2B:53:10,-69
00:C1:64:C3:84:70,-76
00:78:88:2E:72:20,-83
00:78:88:4F:06:60,-72
00:78:88:28:05:BF,-62
00:C1:64:8A:85:8F,-69
00:78:88:2C:80:1F,-65
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-82
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-56
00:78:88:81:10:FF,-86
00:78:88:2E:72:2F,-82
00:C1:64:8A:85:80,-77
00:78:88:2B:53:10,-69
00:C1:64:C3:84:70,-76
00:78:88:4F:06:60,-72
00:78:88:28:05:BF,-63
00:C1:64:8A:85:8F,-67
00:78:88:2C:80:1F,-63
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-57
00:78:88:81:10:FF,-85
00:78:88:2E:72:2F,-81
00:C1:64:8A:85:80,-78
00:C1:64:C3:84:70,-76
00:C1:64:F2:F3:50,-83
00:78:88:28:05:BF,-62
00:C1:64:8A:85:8F,-68
00:78:88:2C:80:1F,-63
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-58
00:78:88:81:10:FF,-85
00:78:88:2E:72:2F,-80
00:C1:64:8A:85:80,-78
00:C1:64:C3:84:70,-80
00:C1:64:F2:F3:50,-83
00:78:88:28:05:BF,-62
00:C1:64:8A:85:8F,-69
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-56
00:78:88:81:10:FF,-85
00:78:88:2E:72:2F,-82
00:C1:64:8A:85:80,-76
00:C1:64:C3:84:70,-80
00:C1:64:F2:F3:50,-83
00:78:88:2B:53:10,-70
00:78:88:28:0F:90,-82
00:78:88:28:05:BF,-60
00:C1:64:8A:85:8F,-66
00:78:88:2C:80:1F,-64
00:78:88:2C:80:10,-58
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-86
00:78:88:28:05:B0,-57
00:78:88:81:10:FF,-85
00:78:88:2E:72:2F,-82
00:C1:64:8A:85:80,-76
00:C1:64:C3:84:70,-81
00:78:88:2B:53:10,-70
00:78:88:28:0F:90,-82
00:78:88:28:05:BF,-61
00:C1:64:8A:85:8F,-69
00:78:88:2C:80:1F,-62
00:78:88:2C:80:10,-57
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-56
00:78:88:2E:72:2F,-81
00:C1:64:8A:85:80,-76
00:C1:64:C3:84:70,-81
00:78:88:2B:53:10,-70
00:78:88:28:0F:90,-82
00:78:88:28:05:BF,-63
00:C1:64:8A:85:8F,-69
00:78:88:2C:80:1F,-63
00:78:88:2C:80:10,-57
00:78:88:4F:06:6F,-77
00:78:88:2B:53:1F,-78
00:78:88:28:05:B0,-56
00:78:88:2E:72:2F,-81
00:C1:64:8A:85:80,-76
00:C1:64:C3:84:70,-81
00:78:88:2B:53:10,-71
00:78:88:28:05:BF,-62
00:C1:64:8A:85:8F,-69
00:78:88:2C:80:1F,-63
00:78:88:2C:80:10,-59
00:78:88:4F:06:6F,-78
00:78:88:2B:53:1F,-79
00:78:88:28:05:B0,-56
00:78:88:2E:72:2F,-82
00:78:88:2B:53:10,-71
00:C1:64:F2:F3:50,-82
00:78:88:18:1D:20,-81
00:78:88:81:10:FF,-87
